device,router,connect_at,disconnect_at,lat,lng
4265,Yurt_G_G12_fc:bc,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8912399,29.3837109
7738,Yurt_A4_107_64:0a,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8927206,29.3826588
12126,Main_Gate_e4:b0,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8897876,29.3739547
9319,Yurt_A1_S_208_f8:37,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8922139,29.3818554
4333,Yurt_A6_308_73:4e,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8924527,29.3816769
4300,IC_7/24_c4:2f,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8900774,29.3776708
14166,Yurt_G_G07_08:e0,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8913645,29.3835995
19871,Main_Gate_e4:b0,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8897876,29.3739547
14609,Yurt_A3_F_103_47:d2,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8922499,29.3828613
4433,Yurt_A5_303_63:a6,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8929776,29.3820221
4482,Yurt_B7_Kat1_AP3_63:10,2016-05-31 00:06:00,2016-05-31 01:16:00,40.8932463,29.3820847
4475,Yurt_B6_Kat2_AP4_64:9c,2016-05-31 00:06:00,2016-05-31 05:08:00,40.8928561,29.3813509
18346,FMAN_G035_35:b0,2016-05-31 00:06:00,2016-05-31 02:37:00,40.8921071,29.3784662
17883,D2_2008_7b:71,2016-05-31 00:06:00,2016-05-31 03:27:00,40.8921239,29.3829058
4564,ADM_G039_a9:c0,2016-05-31 00:06:00,2016-05-31 00:36:00,40.8916288,29.3768196
4556,Yurt_Cafe1_35:f7,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8917931,29.3813097
4570,Yurt_A2_S_204_f8:39,2016-05-31 00:06:00,2016-05-31 00:56:00,40.8922592,29.3821769
4630,Yurt_B2_009_74:a0,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8925279,29.3803587
4614,Yurt_A5_3028_60:60,2016-05-31 00:06:00,2016-05-31 00:16:00,40.892843,29.3823018
10887,Kut_2017_CO_Sol_e0:06,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8901565,29.3778039
4704,Yurt_B11_Kat3_AP2_55:a2,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8906273,29.3827336
7428,Yurt_B11_KatG_AP2_08:0c,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8906556,29.3827474
4688,Yurt_A4_308_5b:04,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8926558,29.3827778
4749,Yurt_B4_012-014_AP6_62:14,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8917779,29.381839
16092,Yurt_A2_S_204_f8:39,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8922592,29.3821769
20293,FMAN_250_35:e9,2016-05-31 00:06:00,2016-05-31 07:20:00,40.891793,29.3785149
17887,Yurt_A4_308_5b:04,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8926558,29.3827778
4754,Yurt_G_G09_fc:01,2016-05-31 00:06:00,2016-05-31 00:16:00,40.891114,29.3834486
4871,Yurt_B7_Kat2_AP3_63:e2,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8929525,29.3819474
12390,Yurt_G_G01_0a:1e,2016-05-31 00:06:00,2016-05-31 00:46:00,,
19284,Yurt_A3_T_309_f8:40,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8924809,29.3833403
4978,Yurt_A1_G_03_f8:35,2016-05-31 00:06:00,2016-05-31 01:36:00,40.8918924,29.3819134
5042,Yurt_A2_S_2020_5b:54,2016-05-31 00:06:00,2016-05-31 01:16:00,40.8922327,29.38282
6712,Yurt_B11_Kat1_AP4_88:12,2016-05-31 00:06:00,2016-05-31 03:17:00,40.8906429,29.3832676
5094,Yurt_A2_T_309_f7:7e,2016-05-31 00:06:00,2016-05-31 02:57:00,40.8923437,29.3822749
5014,Yurt_A1_T_3030_61:0a,2016-05-31 00:06:00,2016-05-31 00:56:00,40.8920025,29.3817006
5111,FENS_L076_35:db,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8906775,29.3790855
10996,Yurt_B8_117_5d:c2,2016-05-31 00:06:00,2016-05-31 09:22:00,40.8935108,29.3806947
12412,FENS_ucmerdiven_d5:3b,2016-05-31 00:06:00,2016-05-31 00:16:00,40.8911212,29.3792824
20298,FMAN_204_34:c4,2016-05-31 00:06:00,2016-05-31 00:26:00,40.891931,29.3790437
5197,Yurt_B1_304_64:66,2016-05-31 00:06:00,2016-05-31 00:26:00,40.8928554,29.3811662
15041,Kutuphane_Giris_Sag_7b:ae,2016-05-31 00:06:00,2016-05-31 01:26:00,40.8902597,29.3777499
1371,Yurt_A4_107_64:0a,2016-05-31 00:06:00,2016-05-31 18:29:00,40.8927206,29.3826588
13029,Karakoy_GirisKat_8a:ce,2016-05-31 00:08:00,2016-05-31 01:09:00,,
10451,Yurt_B9_009_5f:70,2016-05-31 00:16:00,2016-05-31 00:46:00,40.8942319,29.3807449
15624,Main_Gate_e4:b0,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8897876,29.3739547
105,Yurt_B8_304_63:e6,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8938689,29.3809913
146,Yurt_B4_120_122_AP7_64:50,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8918522,29.3819501
196,Yurt_B11_Kat3_AP2_55:a2,2016-05-31 00:16:00,2016-05-31 00:46:00,40.8906273,29.3827336
211,Kut_Giris_Masa1_a4:82,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8905107,29.3777757
300,Yurt_G_G03_0a:a4,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8914566,29.3836555
295,Yurt_B2_1002_62:36,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8925438,29.3802066
9156,Yurt_G_G03_0a:a4,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8914566,29.3836555
450,Yurt_B10_Kat2_AP1_59:24,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8910166,29.3833481
457,Piazza_Cafe_7b:f7,2016-05-31 00:16:00,2016-05-31 01:06:00,40.8918525,29.3814655
12427,Yurt_A2_G_005_47:84,2016-05-31 00:16:00,2016-05-31 07:30:00,40.8922668,29.3822131
551,Yurt_Cafe1_35:f7,2016-05-31 00:16:00,2016-05-31 00:26:00,40.8917931,29.3813097
10633,Yurt_B10_KatG_AP1_63:a0,2016-05-31 00:16:00,2016-05-31 13:45:00,40.8909128,29.3831656
699,Yurt_Cafe1_35:f7,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8917931,29.3813097
20248,Yurt_A6_3028_64:70,2016-05-31 00:16:00,2016-05-31 12:03:00,40.8926733,29.3813851
782,Fass_Otopark_7b:d0,2016-05-31 00:16:00,2016-05-31 00:36:00,40.8888375,29.3777505
845,Yurt_Cafe1_35:f7,2016-05-31 00:16:00,2016-05-31 01:16:00,40.8917931,29.3813097
